kzg_variant,function_name,size,mean
KZGTabDFK,update,16,55499.24244327602
KZGOriginal,update,16,2.595827987710158
KZGOriginal,update,16,2.595827987710158
KZGDeriv,update,16,55927.278763610324
KZGFK,update,16,2.5978164116731497
KZGFK,update,16,2.5978164116731497
KZGTabDFK,update,16,55499.24244327602
KZGDeriv,update,16,55927.278763610324
KZGFK,update,32,2.5986981219283587
KZGOriginal,update,32,2.59700259867096
KZGDeriv,update,32,55530.723142920164
KZGFK,update,32,2.5986981219283587
KZGDeriv,update,32,55530.723142920164
KZGTabDFK,update,32,55495.59329374765
KZGTabDFK,update,32,55495.59329374765
KZGOriginal,update,32,2.59700259867096
KZGFK,update,64,2.5976663932908375
KZGFK,update,64,2.5976663932908375
KZGTabDFK,update,64,55500.441189507736
KZGTabDFK,update,64,55500.441189507736
KZGOriginal,update,64,2.5944674071976146
KZGOriginal,update,64,2.5944674071976146
KZGDeriv,update,64,55820.4038625559
KZGDeriv,update,64,55820.4038625559
KZGFK,update,128,2.597312228043402
KZGDeriv,update,128,56351.7600462963
KZGOriginal,update,128,2.5964527574008684
KZGFK,update,128,2.597312228043402
KZGDeriv,update,128,56351.7600462963
KZGOriginal,update,128,2.5964527574008684
KZGTabDFK,update,128,55651.46787005543
KZGTabDFK,update,128,55651.46787005543
KZGTabDFK,update,256,55568.26364880589
KZGOriginal,update,256,2.595407556534165
KZGFK,update,256,2.597625309918521
KZGFK,update,256,2.597625309918521
KZGDeriv,update,256,55774.09156019126
KZGDeriv,update,256,55774.09156019126
KZGOriginal,update,256,2.595407556534165
KZGTabDFK,update,256,55568.26364880589
KZGTabDFK,update,512,55587.08349254832
KZGTabDFK,update,512,55587.08349254832
KZGOriginal,update,512,2.594948070226404
KZGFK,update,512,2.5983182070801414
KZGFK,update,512,2.5983182070801414
KZGDeriv,update,512,55784.980035894005
KZGDeriv,update,512,55784.980035894005
KZGOriginal,update,512,2.594948070226404
KZGDeriv,update,1024,56002.20115250306
KZGDeriv,update,1024,56002.20115250306
KZGOriginal,update,1024,2.5942747575017124
KZGOriginal,update,1024,2.5942747575017124
KZGFK,update,1024,2.5942075860463074
KZGFK,update,1024,2.5942075860463074
KZGTabDFK,update,1024,55581.98795638557
KZGTabDFK,update,1024,55581.98795638557
KZGOriginal,update,2048,2.597250452370852
KZGOriginal,update,2048,2.597250452370852
KZGFK,update,2048,2.597934090944358
KZGFK,update,2048,2.597934090944358
KZGTabDFK,update,2048,55578.18891688725
KZGTabDFK,update,2048,55578.18891688725
KZGDeriv,update,2048,55634.29353847312
KZGDeriv,update,2048,55634.29353847312
